Time (s),RMS Current (A),Peak Current (A),Min Current (A)
0.017421,0.033829,0.007852,-0.043199
0.017462,0.043199,-0.043199,-0.043199
0.017484,0.147219,0.161005,-0.247404
0.017506,0.155559,0.212056,0.109954
0.017526,0.106810,0.161005,0.058903
0.017543,0.074529,0.109954,0.007852
0.017560,0.067172,0.109954,0.007852
0.017608,0.045895,0.058903,0.007852
0.017629,0.061891,0.109954,0.007852
0.017646,0.046332,0.058903,-0.043199
0.017663,0.049672,0.058903,-0.043199
0.017679,0.069806,0.109954,-0.043199
0.017694,0.038276,0.058903,-0.043199
0.017710,0.070380,0.058903,-0.094251
0.017725,0.074798,0.161005,-0.043199
0.017740,0.107560,0.161005,-0.145302
0.017759,0.053932,0.007852,-0.094251
0.017778,0.059919,0.007852,-0.094251
0.017795,0.033829,0.007852,-0.043199
0.017810,0.127203,0.007852,-0.247404
0.019281,0.038798,0.007852,-0.043199
0.019305,0.050475,0.007852,-0.094251
0.019322,0.043199,-0.043199,-0.043199
0.019353,0.068359,-0.043199,-0.094251
0.019371,0.068359,-0.043199,-0.094251
0.019386,0.057180,-0.043199,-0.094251
0.019402,0.043199,-0.043199,-0.043199
0.019417,0.053932,0.007852,-0.094251
0.019433,0.038798,0.007852,-0.043199
0.019448,0.043199,-0.043199,-0.043199
0.019464,0.148846,-0.094251,-0.196353
0.019478,0.148846,-0.094251,-0.196353
0.019493,0.149919,0.007852,-0.247404
0.019510,0.203276,-0.145302,-0.349506
0.019526,0.073175,0.007852,-0.145302
0.019540,0.131390,-0.043199,-0.145302
0.019555,0.143915,-0.043199,-0.298455
0.019569,0.237142,-0.043199,-0.502660
0.019584,0.059919,0.058903,-0.094251
0.019599,0.057180,-0.043199,-0.094251
0.033434,0.075601,0.007852,-0.094251
0.033462,0.230367,0.007852,-0.502660
0.033479,0.077951,-0.043199,-0.094251
0.033495,0.070666,0.058903,-0.094251
0.033510,0.077951,-0.043199,-0.094251
0.033525,0.053932,0.007852,-0.094251
0.033541,0.123684,0.263107,-0.043199
0.033557,0.038798,0.007852,-0.043199
0.033573,0.033829,0.007852,-0.043199
0.033587,0.038798,0.007852,-0.043199
0.033603,0.043199,-0.043199,-0.043199
0.033617,0.053932,0.007852,-0.094251
0.033633,0.056827,0.058903,-0.094251
0.033648,0.053932,0.007852,-0.094251
0.033663,0.033829,0.007852,-0.043199
0.033678,0.062537,0.109954,-0.043199
0.033693,0.065666,0.007852,-0.094251
0.033708,0.075601,-0.043199,-0.145302
0.033722,0.033829,0.007852,-0.043199
0.033737,0.027990,0.007852,-0.043199
0.035162,0.057180,-0.043199,-0.094251
0.035183,0.038798,0.007852,-0.043199
0.035200,0.053932,0.007852,-0.094251
0.035215,0.038276,0.058903,-0.043199
0.035233,0.059582,0.109954,-0.043199
0.035254,0.038798,0.007852,-0.043199
0.035270,0.130159,0.212056,0.058903
0.035286,0.142792,0.161005,0.109954
0.035301,0.130468,0.212056,-0.094251
0.035316,0.083173,0.109954,0.058903
0.035331,0.106810,0.161005,0.058903
0.035359,0.072067,0.109954,0.058903
0.035374,0.085315,0.161005,0.007852
0.035390,0.042258,0.058903,-0.043199
0.035406,0.037747,0.058903,0.007852
0.035421,0.033829,0.007852,-0.043199
0.035437,0.027262,0.058903,0.007852
0.035452,0.027990,0.007852,-0.043199
0.035468,0.053932,0.007852,-0.094251
0.035483,0.070666,0.058903,-0.094251
0.036876,0.038276,0.058903,-0.043199
0.036899,0.046764,0.058903,-0.043199
0.036919,0.043199,-0.043199,-0.043199
0.036937,0.050475,0.007852,-0.094251
0.036954,0.038798,0.007852,-0.043199
0.036972,0.038798,0.007852,-0.043199
0.036990,0.073175,0.007852,-0.145302
0.037006,0.043199,-0.043199,-0.043199
0.037021,0.027990,0.007852,-0.043199
0.037036,0.050475,0.007852,-0.094251
0.037051,0.122381,0.263107,-0.043199
0.037066,0.043199,-0.043199,-0.043199
0.037082,0.073175,0.007852,-0.145302
0.037097,0.033829,0.007852,-0.043199
0.037111,0.127361,-0.094251,-0.145302
0.037127,0.142796,0.007852,-0.196353
0.037141,0.214878,-0.043199,-0.400557
0.037156,0.127361,-0.094251,-0.145302
0.037170,0.086486,-0.043199,-0.094251
0.037186,0.156847,-0.145302,-0.196353
0.049883,0.235020,-0.094251,-0.451608
0.049906,0.131237,0.007852,-0.247404
0.049923,0.106438,-0.094251,-0.145302
0.049938,0.106438,-0.094251,-0.145302
0.049953,0.099628,-0.043199,-0.145302
0.049968,0.043199,-0.043199,-0.043199
0.049984,0.175429,0.109954,-0.349506
0.049999,0.065666,0.007852,-0.094251
0.050016,0.043199,-0.043199,-0.043199
0.050031,0.033829,0.007852,-0.043199
0.050046,0.097594,0.058903,-0.196353
0.050061,0.043199,-0.043199,-0.043199
0.050076,0.053932,0.007852,-0.094251
0.050091,0.033829,0.007852,-0.043199
0.050106,0.033829,0.007852,-0.043199
0.050121,0.057180,-0.043199,-0.094251
0.050136,0.070666,0.007852,-0.145302
0.050150,0.062537,0.109954,-0.043199
0.050166,0.053932,0.007852,-0.094251
0.050180,0.057180,-0.043199,-0.094251
